Result #1,
API,31738603
GIS WELL NUMBER,8
GIS SYMBOL DESCRIPTION,Oil Well
GIS LOCATION SOURCE,Operator reported location - Distances and Plat
GIS LAT (NAD27),32.252524
GIS LONG (NAD27),-101.994772
GIS LAT (NAD83),32.252640
GIS LONG (NAD83),-101.995189
,Well Logs
OPERATOR/WELLBORE,
WELLBORE STATUS,OPEN
LAST PERMIT ISSUED,760102
LAST PERMIT OPERATOR NUMBER,036047
LAST PERMIT OPERATOR,ATHLON ENERGY OPERATING LLC
LAST PERMIT LEASE NAME,WOODY 36
TOTAL DEPTH,11106
SURFACE LOCATION,Land
ABSTRACT,911
SURVEY,"T&P RR CO/ TOM, M"
BLOCK,37 T2N
SECTION,36
DISTANCE 1,2173
DIRECTION 1,SOUTH
DISTANCE 2,2673
DIRECTION 2,WEST
,Oil/Gas Imaged Records for API:31738603
COMPLETION RECORD,
PRORATION SCHEDULE,OIL
DISTRICT,08
LEASE/ID,35729
OPERATOR NUMBER,251691
OPERATOR,ENCANA OIL & GAS(USA) INC.
LEASE NAME,"WOODY ""36"""
FIELD,SPRABERRY (TREND AREA)
WELL NUMBER,   8  
TYPE WELL,PRODUCING
ON SCHEDULE,YES
,production data query(pdq)
