OPERATOR/WELLBORE,
WELLBORE STATUS,OPEN
LAST PERMIT ISSUED,621979
LAST PERMIT OPERATOR NUMBER,251726
LAST PERMIT OPERATOR,ENDEAVOR ENERGY RESOURCES L.P.
LAST PERMIT LEASE NAME,WOODY '36'
TOTAL DEPTH,11098
SURFACE LOCATION,Land
ABSTRACT,
SURVEY,
BLOCK,
SECTION,
DISTANCE 1,
DIRECTION 1,
DISTANCE 2,
DIRECTION 2,
,Oil/Gas Imaged Records for API:31734714
COMPLETION RECORD,
PRORATION SCHEDULE,OIL
DISTRICT,08
LEASE/ID,38582
OPERATOR NUMBER,251726
OPERATOR,ENDEAVOR ENERGY RESOURCES L.P.
LEASE NAME,"JOHNCAL WOODY ""36"""
FIELD,SPRABERRY (TREND AREA)
WELL NUMBER,   1  
TYPE WELL,PRODUCING
ON SCHEDULE,YES
,production data query(pdq)
